Target,Feature,Decision,Analytical_Role,Evidence_Rank,Rationale,Decision_Reason
LifeExpectancy,AdultObesity,Exclude from final ML set,Exploratory candidate,10.4,Major upstream risk factor for NCD mortality.,"Did not provide enough incremental, non-redundant validation value for the final feature count."
LifeExpectancy,DPTImmunization,Exclude from final ML set,Exploratory candidate,11.8,Proxy for preventive-service reach and health-system effectiveness.,"Did not provide enough incremental, non-redundant validation value for the final feature count."
LifeExpectancy,Diabetes,Retain,Exploratory predictive,4.6,Direct population-level NCD risk factor.,"Selected by the multicollinearity screen, consensus ranking, and feature-count sweep."
LifeExpectancy,GDPGrowth,Exclude from final ML set,Exploratory candidate,13.8,Captures short-run macroeconomic conditions.,"Did not provide enough incremental, non-redundant validation value for the final feature count."
LifeExpectancy,GDPPerCapita,Retain,Exploratory predictive,4.2,Controls for national wealth and living standards.,"Selected by the multicollinearity screen, consensus ranking, and feature-count sweep."
LifeExpectancy,GovHealthExpPC,Retain,Exploratory predictive,1.0,Measures direct public health investment per person.,"Selected by the multicollinearity screen, consensus ranking, and feature-count sweep."
LifeExpectancy,GovHealthExpShare,Exclude from final ML set,Exploratory candidate,,Measures the public share of health financing.,"Did not provide enough incremental, non-redundant validation value for the final feature count."
LifeExpectancy,HealthExpGDP,Retain,Confirmatory and predictive,12.0,Measures health priority relative to national economic output.,Required by the approved research questions; retained regardless of ranking.
LifeExpectancy,HealthExpPC,Exclude from final ML set,Exploratory candidate,,"Primary health-investment variable in RQ1, RQ3, and RQ4.","Did not provide enough incremental, non-redundant validation value for the final feature count."
LifeExpectancy,HospitalBeds,Exclude from final ML set,Exploratory candidate,8.6,Represents inpatient infrastructure capacity.,"Did not provide enough incremental, non-redundant validation value for the final feature count."
LifeExpectancy,LogHealthExpPC,Exclude from final ML set,Exploratory candidate,,Reduces spending skew and represents diminishing returns.,"Did not provide enough incremental, non-redundant validation value for the final feature count."
LifeExpectancy,NursesMidwives,Exclude from final ML set,Exploratory candidate,10.8,Captures broader workforce capacity beyond physicians.,"Did not provide enough incremental, non-redundant validation value for the final feature count."
LifeExpectancy,OOPExpenditure,Retain,Confirmatory and predictive,9.6,Measures household financial burden and financial protection.,Required by the approved research questions; retained regardless of ranking.
LifeExpectancy,OldAgeDependency,Retain,Confirmatory and predictive,6.4,Controls for demographic pressure and population aging.,Required by the approved research questions; retained regardless of ranking.
LifeExpectancy,PM25,Exclude from final ML set,Exploratory candidate,6.6,Environmental exposure relevant to cardiopulmonary mortality.,"Did not provide enough incremental, non-redundant validation value for the final feature count."
LifeExpectancy,Physicians,Retain,Confirmatory and predictive,5.8,Represents clinical workforce capacity and access.,Required by the approved research questions; retained regardless of ranking.
LifeExpectancy,PopulationDensity,Exclude from final ML set,Exploratory candidate,7.0,Represents settlement concentration and infrastructure demand.,"Did not provide enough incremental, non-redundant validation value for the final feature count."
LifeExpectancy,UHCIndex,Retain,Confirmatory and predictive,6.6,Represents service coverage and is central to RQ4.,Required by the approved research questions; retained regardless of ranking.
LifeExpectancy,Unemployment,Retain,Exploratory predictive,5.0,Represents labor-market and socioeconomic pressure.,"Selected by the multicollinearity screen, consensus ranking, and feature-count sweep."
LifeExpectancy,UrbanPopulation,Exclude from final ML set,Exploratory candidate,5.8,Proxy for urban access and service concentration.,"Did not provide enough incremental, non-redundant validation value for the final feature count."
NCDMortality,AdultObesity,Retain,Exploratory predictive,6.8,Major upstream risk factor for NCD mortality.,"Selected by the multicollinearity screen, consensus ranking, and feature-count sweep."
NCDMortality,DPTImmunization,Exclude from final ML set,Exploratory candidate,14.0,Proxy for preventive-service reach and health-system effectiveness.,"Did not provide enough incremental, non-redundant validation value for the final feature count."
NCDMortality,Diabetes,Retain,Exploratory predictive,2.0,Direct population-level NCD risk factor.,"Selected by the multicollinearity screen, consensus ranking, and feature-count sweep."
NCDMortality,GDPGrowth,Exclude from final ML set,Exploratory candidate,11.2,Captures short-run macroeconomic conditions.,"Did not provide enough incremental, non-redundant validation value for the final feature count."
NCDMortality,GDPPerCapita,Exclude from final ML set,Exploratory candidate,7.0,Controls for national wealth and living standards.,"Did not provide enough incremental, non-redundant validation value for the final feature count."
NCDMortality,GovHealthExpPC,Retain,Exploratory predictive,1.8,Measures direct public health investment per person.,"Selected by the multicollinearity screen, consensus ranking, and feature-count sweep."
NCDMortality,GovHealthExpShare,Exclude from final ML set,Exploratory candidate,,Measures the public share of health financing.,"Did not provide enough incremental, non-redundant validation value for the final feature count."
NCDMortality,HealthExpGDP,Retain,Confirmatory and predictive,5.8,Measures health priority relative to national economic output.,Required by the approved research questions; retained regardless of ranking.
NCDMortality,HealthExpPC,Exclude from final ML set,Exploratory candidate,,"Primary health-investment variable in RQ1, RQ3, and RQ4.","Did not provide enough incremental, non-redundant validation value for the final feature count."
NCDMortality,HospitalBeds,Exclude from final ML set,Exploratory candidate,8.4,Represents inpatient infrastructure capacity.,"Did not provide enough incremental, non-redundant validation value for the final feature count."
NCDMortality,LogHealthExpPC,Exclude from final ML set,Exploratory candidate,,Reduces spending skew and represents diminishing returns.,"Did not provide enough incremental, non-redundant validation value for the final feature count."
NCDMortality,NursesMidwives,Exclude from final ML set,Exploratory candidate,10.0,Captures broader workforce capacity beyond physicians.,"Did not provide enough incremental, non-redundant validation value for the final feature count."
NCDMortality,OOPExpenditure,Retain,Confirmatory and predictive,10.6,Measures household financial burden and financial protection.,Required by the approved research questions; retained regardless of ranking.
NCDMortality,OldAgeDependency,Retain,Confirmatory and predictive,11.4,Controls for demographic pressure and population aging.,Required by the approved research questions; retained regardless of ranking.
NCDMortality,PM25,Exclude from final ML set,Exploratory candidate,7.6,Environmental exposure relevant to cardiopulmonary mortality.,"Did not provide enough incremental, non-redundant validation value for the final feature count."
NCDMortality,Physicians,Retain,Confirmatory and predictive,5.8,Represents clinical workforce capacity and access.,Required by the approved research questions; retained regardless of ranking.
NCDMortality,PopulationDensity,Exclude from final ML set,Exploratory candidate,8.8,Represents settlement concentration and infrastructure demand.,"Did not provide enough incremental, non-redundant validation value for the final feature count."
NCDMortality,UHCIndex,Retain,Confirmatory and predictive,6.8,Represents service coverage and is central to RQ4.,Required by the approved research questions; retained regardless of ranking.
NCDMortality,Unemployment,Exclude from final ML set,Exploratory candidate,8.8,Represents labor-market and socioeconomic pressure.,"Did not provide enough incremental, non-redundant validation value for the final feature count."
NCDMortality,UrbanPopulation,Retain,Exploratory predictive,3.2,Proxy for urban access and service concentration.,"Selected by the multicollinearity screen, consensus ranking, and feature-count sweep."
